display_number,id,text
H.R. 692,117874,Economics and public finance Budget deficits and national debt Congressional oversight Government employee pay benefits personnel management Government trust funds Interest dividends interest rates Members of Congress Securities Social security and elderly assistance
H.Res. 348,117865,International affairs Elections voting political campaign regulation Europe Foreign aid and international relief Russia Sovereignty recognition national governance and status Ukraine
H.R. 3350,117867,Transportation and public works
H.R. 538,117314,Native Americans Administrative law and regulatory procedures Administrative remedies Alternative and renewable resources Civil actions and liability Coal Contracts and agency Department of the Interior Electric power generation and transmission Environmental assessment monitoring research Environmental regulatory procedures Federal-Indian relations Forests forestry trees Indian lands and resources rights Indian social and development programs Judicial review and appeals Land transfers Land use and conservation Legal fees and court costs Licensing and registrations Oil and gas
H.Res. 556,118052,
H.R. 3192,117309,Housing and community development
H.Res. 542,117999,
H.Res. 461,117308,Congress Abortion Child health Congressional committees Congressional operations and organization Congressional oversight Health programs administration and funding House Committee on Energy and Commerce House of Representatives Organ and tissue donation and transplantation Women's health
H.R. 1839,117302,Finance and financial sector Financial services and investments Securities
H.Res. 466,117312,Congress House of Representatives Legislative rules and procedure
H.R. 3457,117297,International affairs Arms control and nonproliferation Crime victims Foreign property Government liability International law and treaties Iran Middle East Nuclear weapons Sanctions Terrorism Trade restrictions
H.Res. 444,117285,Congress House of Representatives Legislative rules and procedure
H.R. 2786,117283,Transportation and public works Canada Congressional oversight Customs enforcement Government studies and investigations Latin America Mexico Radiation Railroads Transportation safety and security
H.R. 348,117280,Government operations and politics Administrative law and regulatory procedures Congressional oversight Economic performance and conditions Environmental assessment monitoring research Executive Office of the President Judicial review and appeals Licensing and registrations Public participation and lobbying
H.R. 3504,117264,Crime and law enforcement Abortion Civil actions and liability Criminal investigation prosecution interrogation Health personnel Legal fees and court costs Medical ethics Violent crime
H.Res. 512,117928,Congress
H.Res. 420,117258,Congress House of Representatives Legislative rules and procedure
H.R. 1214,117253,Public lands and natural resources Cemeteries and funerals Forests forestry trees Government trust funds Land transfers Outdoor recreation Solid waste and recycling
H.R. 3460,117249,International affairs Arms control and nonproliferation Foreign property International law and treaties Iran Middle East Nuclear weapons Presidents and presidential powers Vice Presidents Sanctions Trade restrictions
H.Res. 546,118015,
H.R. 3461,117250,International affairs
H.Res. 411,117248,International affairs Arms control and nonproliferation Congressional oversight Congressional-executive branch relations International law and treaties Iran Middle East Nuclear weapons Presidents and presidential powers Vice Presidents Sanctions Trade restrictions
S. 1359,117245,Commerce Administrative law and regulatory procedures Federal Trade Commission (FTC) Internet and video services Product safety and quality Retail and wholesale trades
H.Res. 491,117894,
H.R. 1994,117240,Armed forces and national security Congressional oversight Department of Veterans Affairs Employee performance Government employee pay benefits personnel management Government ethics and transparency public corruption Government studies and investigations Labor-management relations
H.Res. 412,117246,Congress House of Representatives Legislative rules and procedure
H.R. 3236,117237,Transportation and public works Administrative law and regulatory procedures Appropriations Aviation and airports Budget process Congressional oversight Department of the Treasury Digestive and metabolic diseases Disability and paralysis Emergency planning and evacuation Employee benefits and pensions Foreign and international banking Government information and archives Government trust funds Hazardous wastes and toxic substances Health care costs and insurance Health care coverage and access Health facilities and institutions Hospital care Housing finance and home ownership Hunting and fishing Law enforcement administration and funding Licensing and registrations Marine and inland water transportation Military medicine Motor carriers Oil and gas Outdoor recreation Public transit Research administration and funding Research and development Roads and highways Rural conditions and development Sales and excise taxes Tax administration and collection taxpayers Tax-exempt organizations Transfer and inheritance taxes Transportation programs funding Transportation safety and security User charges and fees Veterans' medical care Wetlands
H.R. 427,117231,Government operations and politics Administrative law and regulatory procedures Business investment and capital Climate change and greenhouse gases Competitiveness trade promotion trade deficits Congressional oversight Economic performance and conditions Industrial policy and productivity Inflation and prices Judicial review and appeals Legislative rules and procedure Unemployment
H.R. 675,117220,Armed forces and national security Disability assistance Inflation and prices Veterans' pensions and compensation
H.R. 2288,117990,Public lands and natural resources Child care and development Land transfers Land use and conservation Virginia
H.R. 2770,117214,Transportation and public works Aviation and airports Department of Homeland Security Government studies and investigations Public contracts and procurement Transportation employees Transportation safety and security
S. 1482,117213,Commerce Competition and antitrust Higher education Student aid and college costs Student records
H.R. 1656,117215,Crime and law enforcement Congressional oversight Department of Homeland Security Executive agency funding and structure Federal officials Government buildings facilities and property Government employee pay benefits personnel management Law enforcement administration and funding Law enforcement officers Presidents and presidential powers Vice Presidents Protection of officials
H.R. 3009,116819,Immigration
H.Res. 370,116817,Congress House of Representatives Legislative rules and procedure
H.Res. 421,117260,Congress House of Representatives Legislative rules and procedure
H.R. 1734,116811,Environmental protection Administrative law and regulatory procedures Air quality Coal Electric power generation and transmission Environmental Protection Agency (EPA) Environmental assessment monitoring research Environmental regulatory procedures Hazardous wastes and toxic substances Intergovernmental relations Licensing and registrations Solid waste and recycling State and local government operations Water quality
H.R. 2256,116801,Armed forces and national security Administrative law and regulatory procedures Advisory bodies Alternative treatments Congressional oversight Department of Veterans Affairs Drug safety medical device and laboratory regulation Drug therapy Government studies and investigations Health care coverage and access Health care quality Health facilities and institutions Health information and medical records Health personnel Health technology devices supplies Hospital care Long-term rehabilitative and terminal care Mental health Organ and tissue donation and transplantation Prescription drugs Student aid and college costs Surgery and anesthesia Veterans' education employment rehabilitation Veterans' medical care
H.R. 1557,116800,Government operations and politics Administrative remedies Congressional oversight Employee performance Employment discrimination and employee rights Fraud offenses and financial crimes Government employee pay benefits personnel management Government ethics and transparency public corruption Government information and archives Government studies and investigations Office of Special Counsel Personnel records
H.R. 2898,116792,Water resources development Administrative law and regulatory procedures Congressional oversight Department of the Interior Disaster relief and insurance Environmental assessment monitoring research Executive agency funding and structure Federal-Indian relations General public lands matters Government information and archives Government studies and investigations Indian lands and resources rights Intergovernmental relations Judicial review and appeals Land use and conservation Licensing and registrations Performance measurement State and local government operations Water resources funding Water storage Water use and supply
H.R. 2722,116780,Finance and financial sector Cancer Currency Health programs administration and funding Medical research Research administration and funding Women's health
H.R. 1937,117885,Public lands and natural resources Administrative law and regulatory procedures Administrative remedies Civil actions and liability Environmental assessment monitoring research Forests forestry trees Government information and archives Judicial review and appeals Land use and conservation Legal fees and court costs Licensing and registrations Metals Mining Strategic materials and reserves
H.R. 1723,116771,Finance and financial sector Government information and archives Securities Small business
H.R. 1300,117236,Health Chemical and biological weapons Emergency medical services and trauma care First responders and emergency personnel Government information and archives Health information and medical records Health programs administration and funding Immunology and vaccination Infectious and parasitic diseases Terrorism
H.R. 2997,116770,Housing and community development
H.R. 251,116772,Armed forces and national security Congressional oversight Department of Veterans Affairs Executive agency funding and structure Federal officials Veterans' loans housing homeless programs
H.R. 2499,116766,Commerce Congressional oversight Government lending and loan guarantees Government studies and investigations Small business User charges and fees Veterans' education employment rehabilitation Veterans' loans housing homeless programs Women in business
H.R. 2270,117989,Public lands and natural resources Federal-Indian relations Historic sites and heritage areas U.S. history Washington State Wilderness and natural areas wildlife refuges wild rivers habitats
H.Res. 526,117971,
H.R. 6,116765,Health Administrative law and regulatory procedures Advisory bodies Budget deficits and national debt Child health Computers and information technology Congressional oversight Consumer affairs Department of Health and Human Services Drug safety medical device and laboratory regulation Drug therapy Drug trafficking and controlled substances Drug alcohol tobacco use Energy storage supplies demand Europe Executive agency funding and structure Food and Drug Administration (FDA) Fraud offenses and financial crimes Government studies and investigations Health care quality Health information and medical records Health personnel Health programs administration and funding Health promotion and preventive care Health technology devices supplies Home and outpatient care Hospital care Immunology and vaccination Infectious and parasitic diseases International organizations and cooperation Manufacturing Medicaid Medical education Medical research Medicare National Institutes of Health (NIH) Neurological disorders Oil and gas Prescription drugs Product safety and quality Public-private cooperation Research administration and funding Right of privacy Strategic materials and reserves Surgery and anesthesia User charges and fees
H.R. 2647,116762,Public lands and natural resources Advisory bodies Civil actions and liability Congressional oversight Disaster relief and insurance Ecology Environmental assessment monitoring research Fires Forests forestry trees Government studies and investigations Government trust funds Housing and community development funding Indian lands and resources rights Land use and conservation Oregon Public contracts and procurement State and local finance Water quality Wildlife conservation and habitat protection
H.R. 1384,117968,Armed forces and national security National Guard and reserves Veterans' pensions and compensation
H.R. 2822,116733,Economics and public finance Administrative law and regulatory procedures Advisory bodies Africa Aging Air quality Alaska American Samoa Animal protection and human-animal relationships Appropriations Birds Building construction Buy American requirements California Caribbean area Chesapeake Bay Climate change and greenhouse gases Coal Commission of Fine Arts Congressional oversight Department of Agriculture Department of Health and Human Services Department of the Interior District of Columbia Earth sciences Education programs funding Electric power generation and transmission Elementary and secondary education Endangered and threatened species Energy revenues and royalties Environmental Protection Agency (EPA) Environmental assessment monitoring research Environmental health Environmental regulatory procedures Everglades Executive Office of the President Executive agency funding and structure Federal-Indian relations Fires Fishes Florida Forests forestry trees Georgia Government buildings facilities and property Government information and archives Government lending and loan guarantees Government trust funds Great Lakes Guam Gulf of Mexico Hazardous wastes and toxic substances Health facilities and institutions Historic sites and heritage areas Historical and cultural resources Humanities programs funding Hydrology and hydrography Indian claims Indian lands and resources rights Indian social and development programs Land transfers Land use and conservation Licensing and registrations Livestock Mammals Marine and coastal resources fisheries Marine pollution Metals Military history Mining Minority education Minority health Monuments and memorials Museums exhibitions cultural centers National Capital Planning Commission National Foundation on the Arts and the Humanities National Institutes of Health (NIH) National and community service New Jersey New York City Northern Mariana Islands Oil and gas Oregon Outdoor recreation Palau Parks recreation areas trails Performing arts Pest management Pollution liability Presidents and presidential powers Vice Presidents Property tax Public contracts and procurement Puerto Rico Reptiles Research administration and funding Roads and highways Smithsonian Institution Social work volunteer service charitable organizations Solid waste and recycling South Carolina Tennessee U.S. Holocaust Memorial Council U.S. territories and protectorates User charges and fees Utah Virgin Islands Washington State Water quality Water use and supply Wetlands Wilderness and natural areas wildlife refuges wild rivers habitats Wildlife conservation and habitat protection Wyoming Youth employment and child labor
H.Res. 347,116719,Congress House of Representatives Legislative rules and procedure
H.R. 3762,117886,Health Abortion Appropriations Drug trafficking and controlled substances Drug alcohol tobacco use Employee benefits and pensions Employment taxes Family planning and birth control Government trust funds Health care costs and insurance Health care coverage and access Health facilities and institutions Health programs administration and funding Health promotion and preventive care Health technology devices supplies Hospital care Income tax credits Income tax deductions Medicaid Medical education Medicare Mental health Prescription drugs Sales and excise taxes Self-employed Sex and reproductive health Small business Tax administration and collection taxpayers Tax-exempt organizations Women's health
H.Res. 462,117303,Congress House of Representatives Legislative rules and procedure
H.R. 2200,116710,Emergency management Arms control and nonproliferation Chemical and biological weapons Congressional oversight Food supply safety and labeling Government information and archives Hazardous wastes and toxic substances Homeland security Infectious and parasitic diseases Intelligence activities surveillance classified information Nuclear weapons Radioactive wastes and releases Terrorism
H.Res. 338,116708,Congress House of Representatives Legislative rules and procedure
H.Res. 333,116700,Congress House of Representatives Legislative rules and procedure
H.Res. 483,117882,Congress House of Representatives Legislative rules and procedure
H.R. 805,116696,Science technology communications Congressional oversight Department of Commerce Executive agency funding and structure Government studies and investigations Internet and video services
H.Res. 529,117977,
H.Res. 355,116755,Congress Government buildings facilities and property House of Representatives Library of Congress National symbols Racial and ethnic relations State and local government operations U.S. Capitol
H.R. 1190,116697,Health Advisory bodies Health care costs and insurance Medicare
H.Res. 321,116689,Congress House of Representatives Legislative rules and procedure
H.Res. 319,116687,Congress House of Representatives Legislative rules and procedure
H.Res. 362,116778,Congress House of Representatives Legislative rules and procedure
H.Con.Res. 55,116685,International affairs Conflicts and wars Diplomacy foreign officials Americans abroad Iraq Middle East Military operations and strategy Syria War and emergency powers
H.R. 50,116219,Government operations and politics Administrative law and regulatory procedures Congressional oversight Executive agency funding and structure Federal-Indian relations Government information and archives Government studies and investigations Intergovernmental relations Judicial review and appeals Legislative rules and procedure Office of Management and Budget (OMB) State and local finance
H.R. 2596,116684,Armed forces and national security Alliances Asia Caribbean area Central Intelligence Agency (CIA) China Coast guard Computer security and identity theft Computers and information technology Conflicts and wars Congressional oversight Cuba Defense spending Department of Defense Department of Energy Department of Homeland Security Department of Justice Department of State Department of the Treasury Detention of persons Director of National Intelligence Drug Enforcement Administration (DEA) Energy storage supplies demand Espionage and treason Europe European Union Executive agency funding and structure Federal Bureau of Investigation (FBI) Government buildings facilities and property Government employee pay benefits personnel management Government ethics and transparency public corruption Government studies and investigations Higher education India Intelligence activities surveillance classified information International organizations and cooperation Internet and video services Iraq Israel Latin America Middle East Military assistance sales and agreements Military facilities and property Minority and disadvantaged businesses Minority education Nuclear weapons Office of Personnel Management (OPM) Performance measurement Personnel records Political parties and affiliation Privacy and Civil Liberties Oversight Board Public contracts and procurement Russia Small business Smuggling and trafficking Student aid and college costs Syria Terrorism Veterans' education employment rehabilitation Visas and passports Wildlife conservation and habitat protection Women in business
H.R. 650,116391,Housing and community development Banking and financial institutions regulation Housing finance and home ownership Housing industry and standards Interest dividends interest rates Real estate business Retail and wholesale trades
H.Res. 233,116675,International affairs Detention of persons Diplomacy foreign officials Americans abroad Iran Middle East
H.R. 351,116183,Energy Business records Civil actions and liability Environmental assessment monitoring research Government information and archives Judicial review and appeals Licensing and registrations Marine and inland water transportation Oil and gas
H.R. 1195,116428,Finance and financial sector Advisory bodies Consumer affairs Financial services and investments Small business
H.R. 1314,117905,Economics and public finance Accounting and auditing Administrative law and regulatory procedures Administrative remedies Advisory bodies Agricultural insurance Agricultural prices subsidies credit Agricultural trade Air quality Appropriations Arab-Israeli relations Arctic and polar regions Asia Aviation and airports Budget deficits and national debt Budget process Civil actions and liability Competitiveness trade promotion trade deficits Congressional committees Congressional operations and organization Congressional oversight Corporate finance and management Crime victims Criminal investigation prosecution interrogation Currency Customs enforcement Debt collection Defense spending Department of the Treasury Digital media Disability assistance Economic performance and conditions Employee benefits and pensions Employment discrimination and employee rights Endangered and threatened species Energy storage supplies demand Environmental assessment monitoring research Environmental regulatory procedures Environmental technology Europe European Union Evidence and witnesses Executive agency funding and structure Federal Communications Commission (FCC) Federal officials Fires First responders and emergency personnel Food supply safety and labeling Fraud offenses and financial crimes Free trade and trade barriers Government employee pay benefits personnel management Government ethics and transparency public corruption Government information and archives Government trust funds Home and outpatient care Hospital care House Committee on Ways and Means House of Representatives Human rights Income tax exclusion Inflation and prices Intellectual property Internal Revenue Service (IRS) International monetary system and foreign exchange International organizations and cooperation Internet and video services Israel Judges Judicial review and appeals Labor standards Law enforcement officers Legislative rules and procedure Licensing and registrations Manufacturing Marine and coastal resources fisheries Marine pollution Medicaid Medical tests and diagnostic methods Medicare Middle East Military operations and strategy Office of the U.S. Trade Representative Oil and gas Personnel records Poverty and welfare assistance Prescription drugs Presidents and presidential powers Vice Presidents Public participation and lobbying Railroads Religion Research administration and funding Research and development Rule of law and government transparency Rural conditions and development Sanctions Seafood Senate Committee on Finance Senate Committee on the Budget Separation divorce custody support Service industries Small business Social Security Administration Social security and elderly assistance Sovereignty recognition national governance and status State and local government operations Strategic materials and reserves Tariffs Tax administration and collection taxpayers Tax-exempt organizations Telephone and wireless communication Trade agreements and negotiations Trade restrictions Transportation employees U.S. Capitol U.S. and foreign investments Wages and earnings Water quality Wetlands Wildlife conservation and habitat protection Youth employment and child labor
H.R. 1295,116711,Foreign trade and international finance Administrative law and regulatory procedures Administrative remedies Africa Agricultural trade Budget deficits and national debt Caribbean area Congressional oversight Corporate finance and management Customs enforcement Department of the Treasury Economic development Food assistance and relief Foreign aid and international relief Government information and archives Haiti Higher education Income tax credits Income tax deductions Internal Revenue Service (IRS) Judicial review and appeals Latin America Medicare Outdoor recreation Student aid and college costs Tariffs Tax administration and collection taxpayers Tax-exempt organizations Trade agreements and negotiations U.S. and foreign investments User charges and fees Women in business Women's employment Women's rights
H.R. 2835,117282,Emergency management Border security and unlawful immigration Congressional oversight Department of Homeland Security Employee hiring Government employee pay benefits personnel management Law enforcement officers Military education and training Veterans' education employment rehabilitation
H.R. 2393,116652,Agriculture and food Agricultural marketing and promotion Agricultural trade Meat
H.R. 2577,116636,Economics and public finance Access Board Appropriations Aviation and airports Department of Housing and Urban Development Department of Transportation District of Columbia Emergency planning and evacuation Executive agency funding and structure Federal Maritime Commission Government corporations and government-sponsored enterprises Government lending and loan guarantees Government trust funds Hazardous wastes and toxic substances Homelessness and emergency shelter Housing and community development funding Housing finance and home ownership Housing for the elderly and disabled Housing supply and affordability Indian social and development programs Infrastructure development Interagency Council on Homelessness Low- and moderate-income housing Marine and inland water transportation Maryland Minority and disadvantaged businesses Motor carriers National Railroad Passenger Corporation (Amtrak) National Transportation Safety Board (NTSB) Neighborhood Reinvestment Corporation Oil and gas Pipelines Pollution liability Public housing Public transit Railroads Regional and metropolitan planning Residential rehabilitation and home repair Roads and highways Saint Lawrence Seaway Texas Transportation employees Transportation programs funding Transportation safety and security Virginia Worker safety and health
H.R. 1553,117301,Finance and financial sector Bank accounts deposits capital Banking and financial institutions regulation
H.R. 2578,116601,Economics and public finance Alaska Alaska Natives and Hawaiians Appropriations Assault and harassment offenses Atmospheric science and weather California Canada Census and government statistics Child safety and welfare Commission on Civil Rights Correctional facilities and imprisonment Crime prevention Crime victims Crimes against women Criminal investigation prosecution interrogation Criminal justice information and records Department of Commerce Department of Justice Detention of persons Disability and paralysis Domestic violence and child abuse Drug Enforcement Administration (DEA) Drug trafficking and controlled substances Economic development Equal Employment Opportunity Commission (EEOC) Executive Office of the President Executive agency funding and structure Family services Federal Bureau of Investigation (FBI) Fishes Fraud offenses and financial crimes Higher education Housing and community development funding Human trafficking Idaho Indian social and development programs Intellectual property Judicial procedure and administration Judicial review and appeals Juvenile crime and gang violence Law enforcement administration and funding Law enforcement officers Lawyers and legal services Legal Services Corporation Licensing and registrations Marine Mammal Commission Marine and coastal resources fisheries Minority and disadvantaged businesses National Aeronautics and Space Administration National Science Foundation Nevada Office of the U.S. Trade Representative Oregon Pacific Ocean Prescription drugs Research administration and funding Rural conditions and development Sex offenses Space flight and exploration Spacecraft and satellites Trade restrictions U.S. International Trade Commission Veterans' education employment rehabilitation Violent crime Washington State
H.Res. 287,116568,Congress House of Representatives Legislative rules and procedure
H.R. 1563,116407,Government operations and politics Administrative law and regulatory procedures Congressional oversight Debt collection Employee performance Government employee pay benefits personnel management Government ethics and transparency public corruption Office of Personnel Management (OPM) Right of privacy Tax administration and collection taxpayers
H.R. 1335,116566,Public lands and natural resources Administrative law and regulatory procedures Atlantic Ocean Business records Congressional oversight Department of Commerce Disaster relief and insurance Economic performance and conditions Endangered and threatened species Environmental assessment monitoring research Fishes Government information and archives Gulf of Mexico Hunting and fishing Intergovernmental relations International law and treaties Marine and coastal resources fisheries Marine pollution Oil and gas Pacific Ocean Public participation and lobbying State and local government operations Trade secrets and economic espionage User charges and fees
H.R. 2262,116548,Science technology communications Administrative law and regulatory procedures Congressional oversight Department of Commerce Department of Transportation Executive agency funding and structure Government employee pay benefits personnel management Government liability Government studies and investigations Licensing and registrations Life casualty property insurance National Aeronautics and Space Administration Public-private cooperation Research and development Space flight and exploration Spacecraft and satellites Technology transfer and commercialization Trade agreements and negotiations Transportation safety and security
H.J.Res. 43,116470,Taxation Cell biology and embryology Health promotion and preventive care Income tax credits Medical research
H.R. 880,116542,Taxation Business expenses Income tax credits Research and development Small business
H.R. 158,118047,Immigration Congressional oversight Government information and archives Terrorism Travel and tourism Visas and passports
H.R. 1480,116384,Finance and financial sector Banking and financial institutions regulation Financial services and investments Right of privacy
H.R. 1806,116545,Science technology communications Administrative law and regulatory procedures Advanced technology and technological innovations Advisory bodies Building construction Cell biology and embryology Competitiveness trade promotion trade deficits Computer security and identity theft Computers and information technology Congressional oversight Department of Commerce Department of Energy Education programs funding Elementary and secondary education Energy efficiency and conservation Energy research Executive Office of the President Executive agency funding and structure Federal officials Government buildings facilities and property Government information and archives Government studies and investigations Higher education Industrial policy and productivity Intellectual property International scientific cooperation Life casualty property insurance Manufacturing Medical research Medical tests and diagnostic methods National Security Agency Nuclear power Office of Science and Technology Policy Performance measurement Protection of officials Public contracts and procurement Public-private cooperation Radiation Research administration and funding Research and development Right of privacy Science and engineering education Scientific communication Small business Student aid and college costs Teaching teachers curricula Technology transfer and commercialization Vocational and technical education
S. 178,116529,Crime and law enforcement Abortion Accounting and auditing Advisory bodies Appropriations Child safety and welfare Computer security and identity theft Computers and information technology Congressional oversight Crime prevention Crime victims Crimes against children Criminal investigation prosecution interrogation Criminal justice information and records Criminal procedure and sentencing Department of Homeland Security Domestic violence and child abuse Evidence and witnesses Executive agency funding and structure Fraud offenses and financial crimes Government studies and investigations Government trust funds Homelessness and emergency shelter Housing and community development funding Human rights Human trafficking Intellectual property Internet and video services Law enforcement administration and funding Law enforcement officers Pornography Public participation and lobbying Research administration and funding Research and development Sex offenses Smuggling and trafficking Veterans' education employment rehabilitation Violent crime Youth employment and child labor
H.Res. 369,116804,Congress House of Representatives Legislative rules and procedure
H.Res. 78,116214,Congress House of Representatives Legislative rules and procedure
H.R. 1382,116525,Armed forces and national security Department of Veterans Affairs Fraud offenses and financial crimes Public contracts and procurement Veterans' education employment rehabilitation
H.R. 2130,118055,Public lands and natural resources Administrative remedies Lakes and rivers Land transfers Oklahoma Texas
H.R. 3495,117287,Health Abortion Health facilities and institutions Health personnel Medicaid
H.R. 91,116713,Armed forces and national security Government information and archives Veterans' organizations and recognition
H.Res. 5,116110,Congress Advisory bodies Africa Budget process Civil actions and liability Congressional committees Congressional elections Congressional leadership Congressional officers and employees Congressional operations and organization Congressional oversight Constitution and constitutional amendments Criminal investigation prosecution interrogation Diplomacy foreign officials Americans abroad Due process and equal protection Economic performance and conditions Elections voting political campaign regulation Evidence and witnesses Government ethics and transparency public corruption Government information and archives Government trust funds House Committee on Appropriations House Committee on Ethics House Committee on House Administration House Committee on Ways and Means House Committee on the Judiciary House Permanent Select Committee on Intelligence House of Representatives Human rights Lawyers and legal services Legislative rules and procedure Libya Medicare Members of Congress Public participation and lobbying Social security and elderly assistance Sports and recreation facilities
