,Member,Bill,Link,Vote,Question
26,412638,116203, https://www.govtrack.us/congress/votes/114-2015/h51 ,Yea,H.R. 361: Medical Preparedness Allowable Use Act
27,412638,116205, https://www.govtrack.us/congress/votes/114-2015/h52 ,Yea,H.R. 615: Department of Homeland Security Interoperable Communications
28,412638,116204, https://www.govtrack.us/congress/votes/114-2015/h53 ,Yea,H.R. 623: Social Media Working Group Act of 2015
29,412638,116244, https://www.govtrack.us/congress/votes/114-2015/h84 ,Yea,H.R. 212: Drinking Water Protection Act
30,412638,116282, https://www.govtrack.us/congress/votes/114-2015/h112 ,Yea,H.R. 749: Passenger Rail Reform and Investment Act of 2015
31,412638,116504, https://www.govtrack.us/congress/votes/114-2015/h223 ,No,H.R. 36: Pain-Capable Unborn Child Protection Act
32,412638,116616, https://www.govtrack.us/congress/votes/114-2015/h309 ,No,H.R. 2289: Commodity End-User Relief Act
33,412638,116652, https://www.govtrack.us/congress/votes/114-2015/h333 ,No,H.R. 2393: Country of Origin Labeling Amendments Act of 2015
34,412638,116675, https://www.govtrack.us/congress/votes/114-2015/h364 ,Yea,H.Res. 233: Expressing the sense of the House of Representatives that Iran should immediately release the three United States citizens ...
35,412638,116772, https://www.govtrack.us/congress/votes/114-2015/h435 ,Yea,H.R. 251: Homes for Heroes Act of 2015
36,412638,116800, https://www.govtrack.us/congress/votes/114-2015/h448 ,Yea,H.R. 1557: Federal Employee Antidiscrimination Act of 2015
37,412638,116801, https://www.govtrack.us/congress/votes/114-2015/h449 ,Yea,H.R. 2256: Veterans Information Modernization Act
38,412638,117246, https://www.govtrack.us/congress/votes/114-2015/h491 ,No,H.Res. 412: Providing for consideration of the resolution (H. Res. 411) finding that the President has not complied with section ...
39,412638,117265, https://www.govtrack.us/congress/votes/114-2015/h505 ,No,H.R. 3134: Defund Planned Parenthood Act of 2015
40,412638,117282, https://www.govtrack.us/congress/votes/114-2015/h519 ,Yea,H.R. 2835: Border Jobs for Veterans Act of 2015
41,412638,117297, https://www.govtrack.us/congress/votes/114-2015/h533 ,No,H.R. 3457: Justice for Victims of Iranian Terrorism Act
42,412638,117902, https://www.govtrack.us/congress/votes/114-2015/h575 ,No,H.R. 1090: Retail Investor Protection Act
43,412639,116244, https://www.govtrack.us/congress/votes/114-2015/h84 ,Yea,H.R. 212: Drinking Water Protection Act
44,412639,116282, https://www.govtrack.us/congress/votes/114-2015/h112 ,No,H.R. 749: Passenger Rail Reform and Investment Act of 2015
45,412639,116504, https://www.govtrack.us/congress/votes/114-2015/h223 ,Yea,H.R. 36: Pain-Capable Unborn Child Protection Act
46,412639,116616, https://www.govtrack.us/congress/votes/114-2015/h309 ,Yea,H.R. 2289: Commodity End-User Relief Act
47,412639,116652, https://www.govtrack.us/congress/votes/114-2015/h333 ,Yea,H.R. 2393: Country of Origin Labeling Amendments Act of 2015
48,412639,116675, https://www.govtrack.us/congress/votes/114-2015/h364 ,Yea,H.Res. 233: Expressing the sense of the House of Representatives that Iran should immediately release the three United States citizens ...
49,412639,116772, https://www.govtrack.us/congress/votes/114-2015/h435 ,Yea,H.R. 251: Homes for Heroes Act of 2015
50,412639,116801, https://www.govtrack.us/congress/votes/114-2015/h449 ,Yea,H.R. 2256: Veterans Information Modernization Act
51,412639,117246, https://www.govtrack.us/congress/votes/114-2015/h491 ,Yea,H.Res. 412: Providing for consideration of the resolution (H. Res. 411) finding that the President has not complied with section ...
52,412639,117265, https://www.govtrack.us/congress/votes/114-2015/h505 ,Yea,H.R. 3134: Defund Planned Parenthood Act of 2015
53,412639,117282, https://www.govtrack.us/congress/votes/114-2015/h519 ,Yea,H.R. 2835: Border Jobs for Veterans Act of 2015
54,412639,117297, https://www.govtrack.us/congress/votes/114-2015/h533 ,Yea,H.R. 3457: Justice for Victims of Iranian Terrorism Act
55,412639,117902, https://www.govtrack.us/congress/votes/114-2015/h575 ,Yea,H.R. 1090: Retail Investor Protection Act
56,412636,116244, https://www.govtrack.us/congress/votes/114-2015/h84 ,Yea,H.R. 212: Drinking Water Protection Act
57,412636,116282, https://www.govtrack.us/congress/votes/114-2015/h112 ,Yea,H.R. 749: Passenger Rail Reform and Investment Act of 2015
58,412636,116438, https://www.govtrack.us/congress/votes/114-2015/h173 ,Yea,H.R. 1731: National Cybersecurity Protection Advancement Act of 2015
59,412636,116504, https://www.govtrack.us/congress/votes/114-2015/h223 ,Yea,H.R. 36: Pain-Capable Unborn Child Protection Act
60,412636,116616, https://www.govtrack.us/congress/votes/114-2015/h309 ,Yea,H.R. 2289: Commodity End-User Relief Act
61,412636,116652, https://www.govtrack.us/congress/votes/114-2015/h333 ,Yea,H.R. 2393: Country of Origin Labeling Amendments Act of 2015
62,412636,116675, https://www.govtrack.us/congress/votes/114-2015/h364 ,Yea,H.Res. 233: Expressing the sense of the House of Representatives that Iran should immediately release the three United States citizens ...
63,412636,116772, https://www.govtrack.us/congress/votes/114-2015/h435 ,Yea,H.R. 251: Homes for Heroes Act of 2015
64,412636,116801, https://www.govtrack.us/congress/votes/114-2015/h449 ,Yea,H.R. 2256: Veterans Information Modernization Act
65,412636,117246, https://www.govtrack.us/congress/votes/114-2015/h491 ,Yea,H.Res. 412: Providing for consideration of the resolution (H. Res. 411) finding that the President has not complied with section ...
66,412636,117265, https://www.govtrack.us/congress/votes/114-2015/h505 ,Yea,H.R. 3134: Defund Planned Parenthood Act of 2015
67,412636,117282, https://www.govtrack.us/congress/votes/114-2015/h519 ,Yea,H.R. 2835: Border Jobs for Veterans Act of 2015
68,412636,117297, https://www.govtrack.us/congress/votes/114-2015/h533 ,Yea,H.R. 3457: Justice for Victims of Iranian Terrorism Act
69,412636,117902, https://www.govtrack.us/congress/votes/114-2015/h575 ,Yea,H.R. 1090: Retail Investor Protection Act
70,412637,116113, https://www.govtrack.us/congress/votes/114-2015/h8 ,Yea,H.R. 26: Terrorism Risk Insurance Program Reauthorization Act of 2015
71,412637,116112, https://www.govtrack.us/congress/votes/114-2015/h10 ,Yea,H.R. 23: National Windstorm Impact Reduction Act Reauthorization of 2015
72,412637,116244, https://www.govtrack.us/congress/votes/114-2015/h84 ,Yea,H.R. 212: Drinking Water Protection Act
73,412637,116282, https://www.govtrack.us/congress/votes/114-2015/h112 ,Yea,H.R. 749: Passenger Rail Reform and Investment Act of 2015
74,412637,116504, https://www.govtrack.us/congress/votes/114-2015/h223 ,No,H.R. 36: Pain-Capable Unborn Child Protection Act
75,412637,116616, https://www.govtrack.us/congress/votes/114-2015/h309 ,No,H.R. 2289: Commodity End-User Relief Act
76,412637,116652, https://www.govtrack.us/congress/votes/114-2015/h333 ,No,H.R. 2393: Country of Origin Labeling Amendments Act of 2015
77,412637,116675, https://www.govtrack.us/congress/votes/114-2015/h364 ,Yea,H.Res. 233: Expressing the sense of the House of Representatives that Iran should immediately release the three United States citizens ...
78,412637,116772, https://www.govtrack.us/congress/votes/114-2015/h435 ,Yea,H.R. 251: Homes for Heroes Act of 2015
79,412637,116801, https://www.govtrack.us/congress/votes/114-2015/h449 ,Yea,H.R. 2256: Veterans Information Modernization Act
80,412637,117245, https://www.govtrack.us/congress/votes/114-2015/h490 ,Yea,S. 1359: E-Warranty Act of 2015
81,412637,117246, https://www.govtrack.us/congress/votes/114-2015/h491 ,No,H.Res. 412: Providing for consideration of the resolution (H. Res. 411) finding that the President has not complied with section ...
82,412637,117257, https://www.govtrack.us/congress/votes/114-2015/h499 ,No,H.Res. 420: Providing for consideration of the bill (H.R. 348) to provide for improved coordination of agency actions in the ...
83,412637,117261, https://www.govtrack.us/congress/votes/114-2015/h501 ,No,H.R. 758: Lawsuit Abuse Reduction Act of 2015
84,412637,117260, https://www.govtrack.us/congress/votes/114-2015/h503 ,No,H.Res. 421: Providing for consideration of the bill (H.R. 3134) to provide for a moratorium on Federal funding to Planned ...
85,412637,117265, https://www.govtrack.us/congress/votes/114-2015/h505 ,No,H.R. 3134: Defund Planned Parenthood Act of 2015
86,412637,117282, https://www.govtrack.us/congress/votes/114-2015/h519 ,Yea,H.R. 2835: Border Jobs for Veterans Act of 2015
87,412637,117297, https://www.govtrack.us/congress/votes/114-2015/h533 ,No,H.R. 3457: Justice for Victims of Iranian Terrorism Act
88,412637,117301, https://www.govtrack.us/congress/votes/114-2015/h534 ,Yea,H.R. 1553: Small Bank Exam Cycle Reform Act of 2015
89,412637,117302, https://www.govtrack.us/congress/votes/114-2015/h535 ,Yea,H.R. 1839: RAISE Act of 2015
90,412637,117303, https://www.govtrack.us/congress/votes/114-2015/h537 ,No,H.Res. 462: Providing for consideration of the bill (H.R. 3192) to provide for a temporary safe harbor from the enforcement ...
91,412637,117308, https://www.govtrack.us/congress/votes/114-2015/h538 ,No,H.Res. 461: Establishing a Select Investigative Panel of the Committee on Energy and Commerce.
92,412637,117309, https://www.govtrack.us/congress/votes/114-2015/h540 ,No,H.R. 3192: Homebuyers Assistance Act
93,412637,117311, https://www.govtrack.us/congress/votes/114-2015/h542 ,No,H.Res. 466: Providing for consideration of the bill (H.R. 538) to facilitate the development of energy on Indian lands by ...
94,412637,117313, https://www.govtrack.us/congress/votes/114-2015/h544 ,No,H.R. 538: Native American Energy Act
95,412637,117858, https://www.govtrack.us/congress/votes/114-2015/h549 ,No,H.R. 702: To adapt to changing crude oil market conditions.
96,412637,117902, https://www.govtrack.us/congress/votes/114-2015/h575 ,No,H.R. 1090: Retail Investor Protection Act
97,412634,116244, https://www.govtrack.us/congress/votes/114-2015/h84 ,Yea,H.R. 212: Drinking Water Protection Act
98,412634,116282, https://www.govtrack.us/congress/votes/114-2015/h112 ,Yea,H.R. 749: Passenger Rail Reform and Investment Act of 2015
99,412634,116504, https://www.govtrack.us/congress/votes/114-2015/h223 ,Yea,H.R. 36: Pain-Capable Unborn Child Protection Act
100,412634,116616, https://www.govtrack.us/congress/votes/114-2015/h309 ,Yea,H.R. 2289: Commodity End-User Relief Act
101,412634,116652, https://www.govtrack.us/congress/votes/114-2015/h333 ,Yea,H.R. 2393: Country of Origin Labeling Amendments Act of 2015
102,412634,116675, https://www.govtrack.us/congress/votes/114-2015/h364 ,Yea,H.Res. 233: Expressing the sense of the House of Representatives that Iran should immediately release the three United States citizens ...
103,412634,116772, https://www.govtrack.us/congress/votes/114-2015/h435 ,Yea,H.R. 251: Homes for Heroes Act of 2015
104,412634,116801, https://www.govtrack.us/congress/votes/114-2015/h449 ,Yea,H.R. 2256: Veterans Information Modernization Act
105,412634,117246, https://www.govtrack.us/congress/votes/114-2015/h491 ,Yea,H.Res. 412: Providing for consideration of the resolution (H. Res. 411) finding that the President has not complied with section ...
106,412634,117265, https://www.govtrack.us/congress/votes/114-2015/h505 ,Yea,H.R. 3134: Defund Planned Parenthood Act of 2015
107,412634,117268, https://www.govtrack.us/congress/votes/114-2015/h507 ,Yea,"H.R. 322: To designate the facility of the United States Postal Service located at 16105 Swingley Ridge Road in Chesterfield, ..."
108,412634,117277, https://www.govtrack.us/congress/votes/114-2015/h518 ,Yea,H.R. 348: RAPID Act
109,412634,117282, https://www.govtrack.us/congress/votes/114-2015/h519 ,Yea,H.R. 2835: Border Jobs for Veterans Act of 2015
110,412634,117297, https://www.govtrack.us/congress/votes/114-2015/h533 ,Yea,H.R. 3457: Justice for Victims of Iranian Terrorism Act
111,412634,117902, https://www.govtrack.us/congress/votes/114-2015/h575 ,Yea,H.R. 1090: Retail Investor Protection Act
112,412635,116244, https://www.govtrack.us/congress/votes/114-2015/h84 ,Yea,H.R. 212: Drinking Water Protection Act
113,412635,116282, https://www.govtrack.us/congress/votes/114-2015/h112 ,Yea,H.R. 749: Passenger Rail Reform and Investment Act of 2015
114,412635,116406, https://www.govtrack.us/congress/votes/114-2015/h155 ,Yea,H.Res. 200: Providing for consideration of the bill (H.R. 622) to amend the Internal Revenue Code of 1986 to make ...
115,412635,116504, https://www.govtrack.us/congress/votes/114-2015/h223 ,Yea,H.R. 36: Pain-Capable Unborn Child Protection Act
116,412635,116616, https://www.govtrack.us/congress/votes/114-2015/h309 ,Yea,H.R. 2289: Commodity End-User Relief Act
117,412635,116652, https://www.govtrack.us/congress/votes/114-2015/h333 ,Yea,H.R. 2393: Country of Origin Labeling Amendments Act of 2015
118,412635,116675, https://www.govtrack.us/congress/votes/114-2015/h364 ,Yea,H.Res. 233: Expressing the sense of the House of Representatives that Iran should immediately release the three United States citizens ...
119,412635,116772, https://www.govtrack.us/congress/votes/114-2015/h435 ,Yea,H.R. 251: Homes for Heroes Act of 2015
120,412635,116801, https://www.govtrack.us/congress/votes/114-2015/h449 ,Yea,H.R. 2256: Veterans Information Modernization Act
121,412635,117246, https://www.govtrack.us/congress/votes/114-2015/h491 ,Yea,H.Res. 412: Providing for consideration of the resolution (H. Res. 411) finding that the President has not complied with section ...
122,412635,117265, https://www.govtrack.us/congress/votes/114-2015/h505 ,Yea,H.R. 3134: Defund Planned Parenthood Act of 2015
123,412635,117282, https://www.govtrack.us/congress/votes/114-2015/h519 ,Yea,H.R. 2835: Border Jobs for Veterans Act of 2015
124,412635,117297, https://www.govtrack.us/congress/votes/114-2015/h533 ,Yea,H.R. 3457: Justice for Victims of Iranian Terrorism Act
125,412635,117902, https://www.govtrack.us/congress/votes/114-2015/h575 ,Yea,H.R. 1090: Retail Investor Protection Act
126,412632,116244, https://www.govtrack.us/congress/votes/114-2015/h84 ,Yea,H.R. 212: Drinking Water Protection Act
127,412632,116282, https://www.govtrack.us/congress/votes/114-2015/h112 ,Yea,H.R. 749: Passenger Rail Reform and Investment Act of 2015
128,412632,116504, https://www.govtrack.us/congress/votes/114-2015/h223 ,No,H.R. 36: Pain-Capable Unborn Child Protection Act
129,412632,116616, https://www.govtrack.us/congress/votes/114-2015/h309 ,No,H.R. 2289: Commodity End-User Relief Act
130,412632,116652, https://www.govtrack.us/congress/votes/114-2015/h333 ,No,H.R. 2393: Country of Origin Labeling Amendments Act of 2015
131,412632,116675, https://www.govtrack.us/congress/votes/114-2015/h364 ,Yea,H.Res. 233: Expressing the sense of the House of Representatives that Iran should immediately release the three United States citizens ...
132,412632,116772, https://www.govtrack.us/congress/votes/114-2015/h435 ,Yea,H.R. 251: Homes for Heroes Act of 2015
133,412632,116801, https://www.govtrack.us/congress/votes/114-2015/h449 ,Yea,H.R. 2256: Veterans Information Modernization Act
134,412632,117246, https://www.govtrack.us/congress/votes/114-2015/h491 ,No,H.Res. 412: Providing for consideration of the resolution (H. Res. 411) finding that the President has not complied with section ...
135,412632,117265, https://www.govtrack.us/congress/votes/114-2015/h505 ,No,H.R. 3134: Defund Planned Parenthood Act of 2015
136,412632,117282, https://www.govtrack.us/congress/votes/114-2015/h519 ,Yea,H.R. 2835: Border Jobs for Veterans Act of 2015
137,412632,117297, https://www.govtrack.us/congress/votes/114-2015/h533 ,No,H.R. 3457: Justice for Victims of Iranian Terrorism Act
138,412632,117902, https://www.govtrack.us/congress/votes/114-2015/h575 ,No,H.R. 1090: Retail Investor Protection Act
139,412633,116244, https://www.govtrack.us/congress/votes/114-2015/h84 ,Yea,H.R. 212: Drinking Water Protection Act
140,412633,116282, https://www.govtrack.us/congress/votes/114-2015/h112 ,Yea,H.R. 749: Passenger Rail Reform and Investment Act of 2015
141,412633,116470, https://www.govtrack.us/congress/votes/114-2015/h194 ,Yea,H.J.Res. 43: Disapproving the action of the District of Columbia Council in approving the Reproductive Health Non-Discrimination Amendment Act of ...
142,412633,116504, https://www.govtrack.us/congress/votes/114-2015/h223 ,Yea,H.R. 36: Pain-Capable Unborn Child Protection Act
143,412633,116616, https://www.govtrack.us/congress/votes/114-2015/h309 ,Yea,H.R. 2289: Commodity End-User Relief Act
144,412633,116652, https://www.govtrack.us/congress/votes/114-2015/h333 ,Yea,H.R. 2393: Country of Origin Labeling Amendments Act of 2015
145,412633,116675, https://www.govtrack.us/congress/votes/114-2015/h364 ,Yea,H.Res. 233: Expressing the sense of the House of Representatives that Iran should immediately release the three United States citizens ...
146,412633,116772, https://www.govtrack.us/congress/votes/114-2015/h435 ,Yea,H.R. 251: Homes for Heroes Act of 2015
147,412633,116801, https://www.govtrack.us/congress/votes/114-2015/h449 ,Yea,H.R. 2256: Veterans Information Modernization Act
148,412633,117245, https://www.govtrack.us/congress/votes/114-2015/h490 ,Yea,S. 1359: E-Warranty Act of 2015
149,412633,117246, https://www.govtrack.us/congress/votes/114-2015/h491 ,Yea,H.Res. 412: Providing for consideration of the resolution (H. Res. 411) finding that the President has not complied with section ...
150,412633,117265, https://www.govtrack.us/congress/votes/114-2015/h505 ,Yea,H.R. 3134: Defund Planned Parenthood Act of 2015
151,412633,117282, https://www.govtrack.us/congress/votes/114-2015/h519 ,Yea,H.R. 2835: Border Jobs for Veterans Act of 2015
152,412633,117297, https://www.govtrack.us/congress/votes/114-2015/h533 ,Yea,H.R. 3457: Justice for Victims of Iranian Terrorism Act
153,412633,117902, https://www.govtrack.us/congress/votes/114-2015/h575 ,Yea,H.R. 1090: Retail Investor Protection Act
154,412630,116236, https://www.govtrack.us/congress/votes/114-2015/h78 ,Yea,H.Res. 101: Providing for consideration of the bill (H.R. 644) to amend the Internal Revenue Code of 1986 to permanently ...
155,412630,116244, https://www.govtrack.us/congress/votes/114-2015/h84 ,Yea,H.R. 212: Drinking Water Protection Act
156,412630,116282, https://www.govtrack.us/congress/votes/114-2015/h112 ,No,H.R. 749: Passenger Rail Reform and Investment Act of 2015
157,412630,116504, https://www.govtrack.us/congress/votes/114-2015/h223 ,Yea,H.R. 36: Pain-Capable Unborn Child Protection Act
158,412630,116616, https://www.govtrack.us/congress/votes/114-2015/h309 ,Yea,H.R. 2289: Commodity End-User Relief Act
159,412630,116652, https://www.govtrack.us/congress/votes/114-2015/h333 ,Yea,H.R. 2393: Country of Origin Labeling Amendments Act of 2015
160,412630,116675, https://www.govtrack.us/congress/votes/114-2015/h364 ,Yea,H.Res. 233: Expressing the sense of the House of Representatives that Iran should immediately release the three United States citizens ...
161,412630,116772, https://www.govtrack.us/congress/votes/114-2015/h435 ,Yea,H.R. 251: Homes for Heroes Act of 2015
162,412630,116801, https://www.govtrack.us/congress/votes/114-2015/h449 ,Yea,H.R. 2256: Veterans Information Modernization Act
163,412630,117246, https://www.govtrack.us/congress/votes/114-2015/h491 ,Yea,H.Res. 412: Providing for consideration of the resolution (H. Res. 411) finding that the President has not complied with section ...
164,412630,117265, https://www.govtrack.us/congress/votes/114-2015/h505 ,Yea,H.R. 3134: Defund Planned Parenthood Act of 2015
165,412630,117282, https://www.govtrack.us/congress/votes/114-2015/h519 ,Yea,H.R. 2835: Border Jobs for Veterans Act of 2015
166,412630,117297, https://www.govtrack.us/congress/votes/114-2015/h533 ,Yea,H.R. 3457: Justice for Victims of Iranian Terrorism Act
167,412630,117902, https://www.govtrack.us/congress/votes/114-2015/h575 ,Yea,H.R. 1090: Retail Investor Protection Act
168,412631,116244, https://www.govtrack.us/congress/votes/114-2015/h84 ,Yea,H.R. 212: Drinking Water Protection Act
169,412631,116282, https://www.govtrack.us/congress/votes/114-2015/h112 ,Yea,H.R. 749: Passenger Rail Reform and Investment Act of 2015
170,412631,116504, https://www.govtrack.us/congress/votes/114-2015/h223 ,Yea,H.R. 36: Pain-Capable Unborn Child Protection Act
171,412631,116616, https://www.govtrack.us/congress/votes/114-2015/h309 ,Yea,H.R. 2289: Commodity End-User Relief Act
172,412631,116652, https://www.govtrack.us/congress/votes/114-2015/h333 ,Yea,H.R. 2393: Country of Origin Labeling Amendments Act of 2015
173,412631,116675, https://www.govtrack.us/congress/votes/114-2015/h364 ,Yea,H.Res. 233: Expressing the sense of the House of Representatives that Iran should immediately release the three United States citizens ...
174,412631,116772, https://www.govtrack.us/congress/votes/114-2015/h435 ,Yea,H.R. 251: Homes for Heroes Act of 2015
175,412631,116801, https://www.govtrack.us/congress/votes/114-2015/h449 ,Yea,H.R. 2256: Veterans Information Modernization Act
176,412631,117246, https://www.govtrack.us/congress/votes/114-2015/h491 ,Yea,H.Res. 412: Providing for consideration of the resolution (H. Res. 411) finding that the President has not complied with section ...
177,412631,117265, https://www.govtrack.us/congress/votes/114-2015/h505 ,Yea,H.R. 3134: Defund Planned Parenthood Act of 2015
178,412631,117282, https://www.govtrack.us/congress/votes/114-2015/h519 ,Yea,H.R. 2835: Border Jobs for Veterans Act of 2015
179,412631,117297, https://www.govtrack.us/congress/votes/114-2015/h533 ,Yea,H.R. 3457: Justice for Victims of Iranian Terrorism Act
180,412631,117902, https://www.govtrack.us/congress/votes/114-2015/h575 ,Yea,H.R. 1090: Retail Investor Protection Act
181,400309,116289, https://www.govtrack.us/congress/votes/114-2015/h113 ,Yea,H.R. 647: Access to Life-Saving Trauma Care for All Americans Act
182,400309,116287, https://www.govtrack.us/congress/votes/114-2015/h114 ,Yea,H.R. 648: Trauma Systems and Regionalization of Emergency Care Reauthorization Act
183,400309,116288, https://www.govtrack.us/congress/votes/114-2015/h115 ,Yea,H.R. 876: NOTICE Act
184,400309,116301, https://www.govtrack.us/congress/votes/114-2015/h125 ,No,H.R. 1030: Secret Science Reform Act of 2015
185,400309,116527, https://www.govtrack.us/congress/votes/114-2015/h241 ,Yea,H.R. 1313: Service Disabled Veteran Owned Small Business Relief Act
186,400309,116525, https://www.govtrack.us/congress/votes/114-2015/h242 ,Yea,H.R. 1382: Boosting Rates of American Veteran Employment Act
187,400308,116438, https://www.govtrack.us/congress/votes/114-2015/h173 ,No,H.R. 1731: National Cybersecurity Protection Advancement Act of 2015
188,400308,116445, https://www.govtrack.us/congress/votes/114-2015/h174 ,Yea,H.R. 373: Good Samaritan Search and Recovery Act
189,400308,116443, https://www.govtrack.us/congress/votes/114-2015/h175 ,Yea,H.R. 1324: Arapaho National Forest Boundary Adjustment Act of 2015
190,400308,116527, https://www.govtrack.us/congress/votes/114-2015/h241 ,Yea,H.R. 1313: Service Disabled Veteran Owned Small Business Relief Act
191,400308,116525, https://www.govtrack.us/congress/votes/114-2015/h242 ,Yea,H.R. 1382: Boosting Rates of American Veteran Employment Act
192,400238,117222, https://www.govtrack.us/congress/votes/114-2015/h482 ,No,H.R. 427: Regulations from the Executive in Need of Scrutiny Act of 2015
193,400238,117235, https://www.govtrack.us/congress/votes/114-2015/h484 ,No,"H.Res. 388: Providing for consideration of the bill (H.R. 1994) to amend title 38, United States Code, to provide for ..."
194,400238,117236, https://www.govtrack.us/congress/votes/114-2015/h485 ,Yea,H.R. 1300: First Responder Anthrax Preparedness Act
195,400238,117237, https://www.govtrack.us/congress/votes/114-2015/h486 ,Yea,H.R. 3236: Surface Transportation and Veterans Health Care Choice Improvement Act of 2015
196,400238,117238, https://www.govtrack.us/congress/votes/114-2015/h489 ,No,H.R. 1994: VA Accountability Act of 2015
197,400237,116125, https://www.govtrack.us/congress/votes/114-2015/h17 ,Yea,H.R. 203: Clay Hunt SAV Act
198,400237,116179, https://www.govtrack.us/congress/votes/114-2015/h46 ,No,"H.Res. 48: Providing for consideration of the bill (H.R. 351) to provide for expedited approval of exportation of natural gas, ..."
199,400237,116180, https://www.govtrack.us/congress/votes/114-2015/h47 ,Yea,H.R. 469: Strengthening Child Welfare Response to Trafficking Act of 2015
200,400237,116181, https://www.govtrack.us/congress/votes/114-2015/h48 ,Yea,H.R. 246: To improve the response to victims of child sex trafficking.
201,400237,116183, https://www.govtrack.us/congress/votes/114-2015/h50 ,No,H.R. 351: LNG Permitting Certainty and Transparency Act
202,400237,116203, https://www.govtrack.us/congress/votes/114-2015/h51 ,Yea,H.R. 361: Medical Preparedness Allowable Use Act
203,400237,116205, https://www.govtrack.us/congress/votes/114-2015/h52 ,Yea,H.R. 615: Department of Homeland Security Interoperable Communications
204,400237,116204, https://www.govtrack.us/congress/votes/114-2015/h53 ,Yea,H.R. 623: Social Media Working Group Act of 2015
205,400237,116207, https://www.govtrack.us/congress/votes/114-2015/h55 ,No,H.Res. 70: Providing for consideration of the bill (H.R. 596) to repeal the Patient Protection and Affordable Care Act and ...
206,400237,116211, https://www.govtrack.us/congress/votes/114-2015/h58 ,No,H.R. 596: To repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and ...
207,400237,116213, https://www.govtrack.us/congress/votes/114-2015/h60 ,No,"H.Res. 78: Providing for consideration of the bill (H.R. 527) to amend chapter 6 of title 5, United States Code ..."
